央视频道,#genre#
山西卫视,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226920/1.m3u8
山西卫视,http://183.249.78.44:10800/newlive/live/hls/49/live.m3u8
陕西卫视,http://qwt.zhibotv.top:2016/全网通.php?id=陕西卫视
陕西卫视,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226999/1.m3u8
陕西卫视,http://60.13.52.236:65500/newlive/live/hls/38/live.m3u8
陕西卫视,http://183.249.78.44:10800/newlive/live/hls/47/live.m3u8
四川卫视,http://60.13.52.236:65500/newlive/live/hls/36/live.m3u8
深圳卫视,http://183.249.78.44:10800/newlive/live/hls/42/live.m3u8
深圳卫视,http://60.13.52.236:65500/newlive/live/hls/24/live.m3u8
三沙卫视,http://qwt.zhibotv.top:2016/全网通.php?id=三沙卫视
三沙卫视,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226544/1.m3u8
天津卫视,http://60.13.52.236:65500/newlive/live/hls/28/live.m3u8
新疆卫视,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226923/1.m3u8
西藏卫视,http://qwt.zhibotv.top:2016/全网通.php?id=西藏卫视
西藏卫视,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227033/1.m3u8
西藏卫视,http://183.249.78.44:10800/newlive/live/hls/46/live.m3u8
西藏卫视,http://60.13.52.236:65500/newlive/live/hls/45/live.m3u8
云南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=云南卫视
云南卫视,http://satellitepull.cnr.cn/live/wxynws/playlist.m3u8
云南卫视,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226928/1.m3u8
云南卫视,http://60.13.52.236:65500/newlive/live/hls/43/live.m3u8
延边卫视,http://qwt.zhibotv.top:2016/全网通.php?id=延边卫视
延边卫视,http://satellitepull.cnr.cn/live/wxybws/playlist.m3u8

安徽频道,#genre#
安徽影视,http://112.132.10.54:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
安徽影视,http://112.27.235.94:8000/hls/24/index.m3u8
安徽综艺体育,http://112.27.235.94:8000/hls/25/index.m3u8
安徽导视,http://dspdhls.appcoo.com:8888/live/dspd/index.m3u8
合肥新闻,http://112.27.235.94:8000/hls/18/index.m3u8

北京频道,#genre#
北京财经,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv5_1/index.m3u8?adapt=0&BR=audio
北京生活,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv7_1/index.m3u8?adapt=0&BR=audio
北京新闻,https://satellitepull.cnr.cn/live/wxbjxwgb/playlist.m3u8
北京新闻,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv9_1/index.m3u8?adapt=0&BR=audio
淘娱乐,http://218.60.86.8:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226551/.m3u8

重庆频道,#genre#
重庆新闻,https://satellitepull.cnr.cn/live/wxcqxwgb/playlist.m3u8

福建频道,#genre#
福建新闻,http://satellitepull.cnr.cn/live/wx32fjxwgb/playlist.m3u8
福建新闻,https://satellitepull.cnr.cn/live/wx32fjxwgb/playlist.m3u8
福建电视剧,http://8.138.7.223/tv/fjtv.php?id=7
福建旅游,http://110.80.17.38:9999/tsfile/live/0138_1.m3u8
福建经济,http://satellitepull.cnr.cn/live/wx32fjdnjjgb/playlist.m3u8
福建少儿,http://8.138.7.223/tv/fjtv.php?id=2

甘肃频道,#genre#

广东频道,#genre#
广东体育,http://111.221.137.155:44330/tsfile/live/1000_1.m3u8?key=txiptv
广东民生,http://116.77.33.98:44330/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
广东民生,http://183.237.95.108:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=0&authid=0
广东民生,http://183.11.239.36:808/hls/18/index.m3u8
广东新闻,https://satellitepull.cnr.cn/live/wxgdxwgb/playlist.m3u8
广东新闻,http://111.221.137.155:44330/tsfile/live/1001_1.m3u8?key=txiptv
广东影视,http://8.134.110.147:5300/?id=gdys
广东少儿,http://gmxw.7766.org:808/hls/175/index.m3u8

广西频道,#genre#
南宁新闻综合,rtmp://tv.qntv.net/channellive/ch1?zguizd

贵州频道,#genre#

海南频道,#genre#
海南新闻,http://satellitepull.cnr.cn/live/wxhainxwgb/playlist.m3u8
海南新闻,https://satellitepull.cnr.cn/live/wxhainxwgb/playlist.m3u8

河北频道,#genre#
河北都市,https://radio.pull.hebtv.com/live/hebnczx.m3u8
河北少儿科教,http://php.fjl626.cn/hebei.php?id=sekj

河南频道,#genre#
河南法治,http://www.cdnstv.com:6398/hls/1112/index.m3u8
河南电视剧,http://www.cdnstv.com:6398/hls/1113/index.m3u8
河南新闻,http://www.cdnstv.com:6398/hls/1114/index.m3u8
河南乡村,http://www.cdnstv.com:6398/hls/1116/index.m3u8

湖北频道,#genre#
湖北经视,http://61.184.46.85:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
湖北影视,http://61.184.46.85:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
湖北生活,http://satellitepull.cnr.cn/live/wx32hubczshgb/playlist.m3u8
湖北生活,https://satellitepull.cnr.cn/live/wx32hubczshgb/playlist.m3u8

湖南频道,#genre#
金鹰卡通,http://61.184.46.85:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0

黑龙江频道,#genre#
哈尔滨影视,https://stream.hrbtv.net/yspd/sd/live.m3u8
哈尔滨影视,https://stream.hrbtv.net/yspd/playlist.m3u8
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8?zheild
哈尔滨影视,http://111.43.126.240:9003/hls/5/index.m3u8
哈尔滨资讯,http://stream.hrbtv.net/zxpd/sd/live.m3u8
哈尔滨生活,https://stream.hrbtv.net/shpd/sd/live.m3u8
哈尔滨生活,http://stream.hrbtv.net/shpd/sd/live.m3u8
哈尔滨生活,http://stream.hrbtv.net/shpd/sd/live.m3u8?zheild
哈尔滨生活,http://111.43.126.240:9003/hls/3/index.m3u8
哈尔滨娱乐,http://stream.hrbtv.net/ylpd/sd/live.m3u8?zheild

吉林频道,#genre#
吉林乡村,https://satellitepull.cnr.cn/live/wxjlxcgb/playlist.m3u8

江苏频道,#genre#
江苏国际,http://8.134.110.147:5300/?id=jsgj

辽宁频道,#genre#
辽宁影视剧,http://120.76.248.139/live/bfgd/4200000070.m3u8
辽宁影视剧,http://dassby.qqff.top:99/live/%E8%BE%BD%E5%AE%81%E5%BD%B1%E8%A7%86%E5%89%A7/index.m3u8
辽宁生活,http://120.76.248.139/live/bfgd/4200000073.m3u8
辽宁生活,http://dassby.qqff.top:99/live/辽宁生活/index.m3u8
辽宁教育青少,http://120.76.248.139/live/bfgd/4200000075.m3u8
辽宁教育青少,http://dassby.qqff.top:99/live/辽宁教育青少/index.m3u8
辽宁北方,http://120.76.248.139/live/bfgd/4200000071.m3u8
辽宁北方,http://dassby.qqff.top:99/live/辽宁北方/index.m3u8
朝阳新闻综合,http://120.76.248.139/live/bfgd/4200000282.m3u8

内蒙古频道,#genre#
内蒙古文体娱乐,http://play1-qk.nmtv.cn/live/1686561195713372.m3u8
内蒙古农牧,http://play1-qk.nmtv.cn:80/live/1686561299036179.m3u8
内蒙古少儿,http://play1-qk.nmtv.cn/live/1686560464515368.m3u8

宁夏频道,#genre#

青海频道,#genre#

山东频道,#genre#
山东齐鲁,http://61.156.228.12:8154/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
山东齐鲁,http://221.2.148.205:8154/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
山东齐鲁,http://123.130.84.106:8154/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
山东文旅,http://221.2.148.205:8154/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
山东文旅,http://221.2.148.205:8154/tsfile/live/1004_1.m3u8?key=txiptv&amp;amp;playlive=1&amp;amp;authid=0
山东综艺,http://123.129.70.178:9901/tsfile/live/1001_1.m3u8

山西频道,#genre#

陕西频道,#genre#

四川频道,#genre#
四川科教,http://182.150.115.21:8030/pcgacg/pcgacg_0.m3u8

上海频道,#genre#
生活时尚,rtsp://115.153.245.70/PLTV/88888888/224/3221225603/iptv7992.smil
生活时尚,rtsp://115.153.254.81/PLTV/88888888/224/3221225603/iptv7992.smil
生活时尚,rtsp://115.153.240.228:554/PLTV/88888888/224/3221225603/iptv7992.smil
生活时尚,rtsp://115.153.212.72/PLTV/88888888/224/3221225603/iptv7992.smil
生活时尚,rtsp://115.153.247.80/PLTV/88888888/224/3221225603/iptv7992.smil
生活时尚,rtsp://115.153.230.145/PLTV/88888888/224/3221225603/iptv7992.smil
生活时尚,rtsp://115.153.222.112:554/PLTV/88888888/224/3221225603/iptv7992.smil
生活时尚,rtsp://115.153.233.154/PLTV/88888888/224/3221225603/iptv7992.smil
生活时尚,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000418?AuthInfo=xxx&userid=gf001&userid=gf001
乐游,http://112.46.105.20:8009/hls/75/index.m3u8
新视觉,http://120.76.248.139/live/bfgd/4200000249.m3u8

天津频道,#genre#
滨海新闻,http://traffic.jbh.tjbh.com/live/bhtv10/playlist.m3u8

新疆频道,#genre#

云南频道,#genre#

浙江频道,#genre#
浙江影视娱乐,http://ali-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8
浙江之江纪录,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8

其它频道,#genre#
高清大片,http://8.134.110.147:5300/?id=gqdp
赛事最经典,http://8.134.110.147:5300/?id=sszjd
最强综艺趴,http://8.134.110.147:5300/?id=zqzyp
掼蛋精英赛,http://8.134.110.147:5300/?id=gdjys
体坛名栏汇,http://8.134.110.147:5300/?id=ttmlh
新片放映厅,http://8.134.110.147:5300/?id=xpfyt
经典香港电影,http://8.134.110.147:5300/?id=jdxgdy
华语乐坛最强音,http://8.134.110.147:5300/?id=hyytzqy
军事迷必看大片,http://8.134.110.147:5300/?id=jsdp
经典动画大集合,http://8.134.110.147:5300/?id=jddhdjh

港·澳·台,#genre#
凤凰中文,https://cdn.iptv8k.top/dl/jrys.php?id=19&time=20240926215313&ip=111.229.253.40
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_audio.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8
凤凰香港,https://cdn.iptv8k.top/dl/jrys.php?id=18&time=20240926215313&ip=111.229.253.40
翡翠台,https://cdn.iptv8k.top/dl/jrys.php?id=3&time=20240926215313&ip=111.229.253.40『线路08』
天映经典,https://cdn.iptv8k.top/dl/jrys.php?id=71&time=20240926215313&ip=111.229.253.40
东森综合,https://cdn.iptv8k.top/dl/jrys.php?id=221&amp;time=20240926215313&amp;ip=111.229.253.40
三立新闻,https://cdn.iptv8k.top/dl/jrys.php?id=273&time=20240926215313&ip=111.229.253.40
纬来育乐,https://cdn.iptv8k.top/dl/jrys.php?id=289&time=20240926215313&ip=111.229.253.40
纬来体育,https://cdn.iptv8k.top/dl/jrys.php?id=292&amp;time=20240926215313&amp;ip=111.229.253.40

AKTV,#genre#

海外频道,#genre#
